64.22285714285714
Coverage:61.0| Fitness: 60.25333333333333
Coverage: 65.0 | Fitness: 63.95777777777777
-----------------------------------
Coverage: 63.0 | Fitness: 62.00666666666667Time passed: 264.76437854766846
-----------------------------------
Coverage: 40.0 | Fitness: 59.5 | Time passed: 20.043500423431396
-----------------------------------------------------------
Coverage: 85.0 | Fitness: 84.3 | Time passed: 12.908878087997437
Coverage: 85.0 | Fitness: 84.39999999999999 | Time passed: 13.083012580871582
Coverage: 60.0 | Fitness: 59.5 | Time passed: 10.418403625488281
Coverage: 85.0 | Fitness: 84.39999999999999 | Time passed: 15.757021188735962
Coverage: 85.0 | Fitness: 84.39999999999999 | Time passed: 10.359713792800903
Coverage: 85.0 | Fitness: 84.30000000000001 | Time passed: 13.371693134307861
Coverage: 85.0 | Fitness: 84.3 | Time passed: 11.543007373809814
Coverage: 85.0 | Fitness: 84.3 | Time passed: 14.112910985946655
Coverage: 85.0 | Fitness: 84.3 | Time passed: 13.374908208847046
Coverage: 85.0 | Fitness: 84.36666666666667 | Time passed: 11.018769025802612
Coverage: 85.0 | Fitness: 84.23333333333333 | Time passed: 13.32816481590271
Coverage: 85.0 | Fitness: 84.39999999999999 | Time passed: 16.078337907791138
Coverage: 85.0 | Fitness: 84.39999999999999 | Time passed: 12.8897864818573
Coverage: 85.0 | Fitness: 84.39999999999999 | Time passed: 14.545453786849976
---------------------------------------------------------------------------

Coverage: 40.0 | Fitness: 39.5Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.283884286880493
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.227422952651978
Coverage: 40.0 | Fitness: 59.5 | Time passed: 8.263812065124512
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.246520042419434
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.160085201263428
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.334420204162598
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.271127223968506
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.33973503112793
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.317858219146729
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.326895952224731
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.328778505325317
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.27850079536438
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.34210991859436
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.452678203582764
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.170997142791748
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.139815092086792
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.171696424484253
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.15730595588684
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.1728515625
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.1844162940979
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.280024528503418
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.252344369888306
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.330325603485107
Coverage: 40.0 | Fitness: 39.5 | Time passed: 8.363410711288452
Coverage: 60.0 | Fitness: 39.5 | Time passed: 8.415585994720459
Coverage: 60.0 | Fitness: 59.5 | Time passed: 8.263578176498413
